Strain,beta-Caryophyllene,alpha-Humulene,beta-Pinene,alpha-Pinene,Linalool,Camphene,beta-Myrcene,Geraniol,trans-Nerolidol,Caryophyllene Oxide,delta-3-Carene,alpha-Terpinene,para-Cymene,beta-Ocimene,Eucalyptol,gamma-Terpinene,Terpinolene,cis-Nerolidol,alpha-Bisabolol,D-Limonene,Guaiol,Isopulegol,alpha-Ocimene
F130,0.11,0.05,0.07,0.05,0.18,0.02,0.24,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.02,0.02,0.02,0,0,0,0
F112,0,0.17,0.05,0.04,0.17,0.02,0.07,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.04,0.23,0.04,0,0
F104,0.26,0.11,0.07,0.04,0.02,0.02,0.15,0.02,0.02,0.03,0,0.07,0.02,0.01,0,0.02,0.02,0.01,0.03,0,0,0,0
F98,0.09,0.04,0.07,0.05,0.08,0.02,0,0.02,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.24,0,0,0
F113,0,0.1,0.06,0.04,0.14,0.02,0.04,0.02,0.02,0.03,0.01,0.05,0.01,0.16,0,0.01,0.02,0.01,0.03,0.19,0,0,0
F95,0.09,0.04,0.05,0.04,0.06,0.02,0.15,0,0.01,0.03,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.01,0,0.03,0,0.09
F128,0,0.12,0.06,0.04,0.12,0.02,0.05,0.02,0.02,0.02,0.01,0.05,0.01,0.02,0.01,0.01,0.02,0.01,0.03,0.25,0,0.02,0
F120,0.26,0.09,0.06,0.05,0.18,0.03,0.11,0,0.03,0.03,0.02,0.01,0.02,0.22,0,0.02,0.02,0.01,0.04,0,0,0,0
F124,0.19,0.07,0.05,0.03,0.14,0.02,0,0,0.01,0.03,0.02,0.04,0.02,0.02,0,0.02,0.02,0.01,0.02,0.14,0.03,0,0.07
F132,0.08,0.04,0.13,0.09,0.04,0.02,0.21,0.02,0.01,0,0.04,0.05,0.02,0.16,0.02,0.04,0,0.01,0,0.18,0,0,0
F115,0.12,0.05,0.07,0.05,0.17,0.02,0.05,0.01,0.02,0.02,0.01,0.08,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0,0.01,0,0
F116,0.13,0.04,0.12,0.25,0.05,0.02,0.09,0.02,0.01,0.02,0.01,0.07,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0,0.03,0.02,0
F118,0.16,0.06,0.04,0.03,0.05,0.02,0,0,0.01,0.03,0.02,0.03,0.02,0.01,0,0.02,0.02,0.01,0.01,0.1,0.03,0,0.05
F97,0.16,0.07,0.12,0.15,0.11,0.03,0.1,0,0.02,0.03,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.03,0,0,0,0
